,review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
90397,R2BIL5JUPTBJYD,2,18,20,N,Y
90456,R2SDLKOLI9K5RY,5,42,45,N,Y
90640,R3B890DKUL4XXJ,5,25,26,N,Y
90710,R1998UQXW08LKD,5,593,605,N,Y
90754,R2N528JZAK5D2B,5,44,44,N,Y
90835,RRNC51IBFDFJV,5,60,61,N,Y
91041,R7DGH0GXEUHBC,5,59,59,N,Y
91641,RV96B2AK0IP2O,5,48,49,N,Y
91700,REVBNN3OP35UE,5,20,21,N,Y
92065,R1JMXOBD6VYFRX,3,19,20,N,Y
92392,R2XD96BMRB65HQ,4,20,20,N,Y
92400,R3T2XIEI788Q78,5,95,97,N,Y
92740,R3PAEGM8ML07CJ,5,150,151,N,Y
92840,REY0L6142BAF1,5,61,64,N,Y
92922,R3FDVU3XNAU13R,5,39,40,N,Y
92976,R2XVU2AW5XX090,5,49,56,N,Y
93142,R2KG5VD3Y2I23E,4,21,23,N,Y
93325,R2J8R6IO1B7ONJ,5,46,46,N,Y
93386,R2HDXB18I2CXUX,5,19,23,N,Y
93589,R2AHJF4PFKCBZZ,5,29,31,N,N
94281,R1QQR5XN1S0DW6,1,27,30,N,Y
94905,RG9L2LVEEZPD1,2,23,23,N,Y
94916,RIWLQSGV4DQ9D,1,18,21,N,Y
95085,R1DM63CUKVTQRO,3,22,25,N,Y
95542,R2I1FFDDPHPNKH,5,27,28,N,Y
95576,RNMQL9MSG413Q,1,31,35,N,Y
95691,R19FP8X934VJ3E,3,31,33,N,Y
96003,R3UFDM89GWX6LX,5,23,24,N,Y
96036,R2NHIXLGAH061X,5,22,23,N,Y
96090,RPYBPNAGYLM6Y,5,28,30,N,Y
96284,RXVU8UWFUVG5E,5,21,21,N,Y
96353,R2ZU0JC356NSWB,5,49,55,N,Y
96533,R1INPCETG8JPCW,4,19,20,N,Y
96586,R24I3IH26C2MR4,5,20,21,N,Y
96701,R1Y9LGUK9X5LUN,5,27,28,N,Y
96767,R1ROTCBYO7Z1G8,5,74,77,N,Y
96910,R1VUSM2WFSU6F2,5,21,22,N,Y
97223,RXLBT3FVTJRR2,1,0,26,N,N
97383,R2PG4INNF093KP,5,87,88,N,Y
97800,R2JLCOGG09QIZK,2,49,61,N,Y
98543,R39JQ8PHJ3K3AA,1,43,46,N,N
99097,R2ZX3KI4KH6T19,4,57,64,N,Y
99602,R3A8R2Z5OP9812,5,24,26,N,Y
100038,ROOIIG8HGIYX5,5,42,45,N,Y
100142,R3KMTHEAF6Q4JM,5,34,35,N,Y
100163,R3Q4ETLHG8V9M4,5,54,58,N,N
100167,R2ITDEMLR7D91Q,2,29,32,N,Y
100231,R37BVCSD0VF8RY,5,37,37,N,Y
100720,R1P4NTAKN0QCU2,5,34,38,N,Y
100973,R29DK25YILD42R,4,37,40,N,Y
101354,R1GXSQVK20JIID,1,21,23,N,Y
101502,R3JLZPI4QA1U3P,5,30,32,N,Y
101865,RGX3JO950A05M,1,0,51,N,Y
102069,RFNCVEGKHCJB3,5,35,43,N,Y
102233,R2AW58EFLF2TT2,5,26,28,N,Y
102349,R1AT39K79KQ1K3,1,45,47,N,Y
102358,R16DK79ZXUGNCF,5,110,114,N,Y
102695,R2QGLUJ6D7YFGF,1,6,21,N,N
102739,R1OPNATW6ILGHS,5,53,53,N,Y
102840,R1H5ULVH8TNQBP,5,23,25,N,Y
103384,RHJZYRALOM5VF,5,20,21,N,Y
103509,RF2X1QRHNCH2Z,2,194,206,N,Y
103968,R210AQJ1IWN8B3,4,21,21,N,Y
104581,RYH4G4PTJ9Q4R,5,129,135,N,Y
105026,R1AGUDEVJIDODX,1,42,46,N,Y
105145,R13QQSM8R28SIN,5,109,112,N,Y
105183,R1O0TK1V7KLPWS,3,61,63,N,Y
105281,R1WNPE7UZD6OVY,4,48,48,N,N
105623,RART8ABGAGTIT,3,32,33,N,Y
105693,RQCQPXE80ATVH,5,33,34,N,Y
105983,R11W5JKK5HVN76,5,24,27,N,Y
106192,R37MAR7DWGJJVB,5,45,46,N,Y
106249,R3UKIQH116JH8B,2,23,23,N,Y
106500,R1AREZSPLMOLN9,4,18,21,N,Y
106549,R14QTPX6LYODAZ,5,36,40,N,Y
106884,R1RWIFG2BQAMME,4,40,41,N,Y
107062,R2EGW3I1BEBAZ3,5,22,23,N,Y
107544,R2A7XO72MUPW8L,5,23,24,N,Y
107666,R1BQ1V3EAT10VG,5,57,59,N,Y
107943,RY5RT8L1TXE5Q,4,49,54,N,Y
108957,R235LCAF41DPJD,1,40,43,N,Y
109070,RL0V9L89SSEJE,5,28,28,N,Y
109614,R3GQUCPUUU3ZZB,5,16,24,N,N
110173,R3VU6PJKXQ6IPI,4,22,22,N,Y
110710,RBCE9HPHD1U26,1,51,54,N,Y
110872,R120ZWLMVZXZD7,4,36,38,N,N
110998,R1CJI4Y1SSBMPO,4,42,43,N,Y
111051,R3L9948QM8LLO3,1,17,21,N,Y
111090,R17XK3YCWOVIGK,5,21,22,N,Y
111395,R1GU80G1LZUZQI,5,56,64,N,Y
111950,R1LITB09YYUAV,5,19,20,N,Y
111967,R1FY7QX8ZVKF3B,2,23,27,N,Y
112135,R3U0HIYMIGCJS7,5,20,20,N,Y
112367,R14Z2ZGZ1AK3OH,5,21,22,N,Y
112623,R2GXYQP5EKQIT9,4,21,24,N,N
112660,R1EG1IJCE1D141,5,20,20,N,Y
112839,RNWMOS9144G79,1,38,39,N,N
113045,R37CQWDB30MOX1,4,26,28,N,Y
113339,R36EHVYMEWWALJ,4,34,35,N,Y
113365,RTWX8U1M0NA4P,4,26,28,N,Y
113661,RWB17WGV20COS,5,48,52,N,N
113997,R36J1VO75OXBMK,4,27,29,N,Y
114106,RIFT6V9YY8JGG,1,30,30,N,N
114122,R2TN2K6LSCNQTS,5,26,26,N,Y
114244,RXO36FUOE6CS5,5,24,29,N,Y
114691,R2ZUEKHNG5JHGY,5,23,24,N,Y
114766,RV6H1E0DEBYY6,2,31,31,N,Y
114769,R3RWPPANPT5JBR,3,26,27,N,Y
115068,RM9Z5FUNHQD5,5,88,89,N,Y
115705,R1S3RBEC839UA9,1,26,28,N,Y
115724,R1GADKQ24KNWM5,5,32,33,N,Y
116162,R1NQ6F3MZQ9HAF,1,42,47,N,Y
116205,R3DTX19LO1OAPM,5,20,23,N,Y
116252,R3QRIOWGDTGI07,4,66,66,N,Y
116417,R18LM6SUJFXGXJ,5,30,31,N,Y
116481,R3NJANYTDUF9MP,3,22,22,N,Y
117350,R22WRUUZ9OIC8A,5,19,20,N,Y
117635,R31EKKW4K8UX9Z,5,29,30,N,Y
118502,R29S6H1HTK74KT,1,25,27,N,Y
119406,R1MF10NN5I0EFL,4,24,28,N,Y
119754,R3V4MYIYGQ2QH,5,22,24,N,Y
120335,RWHZOGPM2V9H,5,23,24,N,N
121250,R37UKAS4DODI5J,5,39,43,N,Y
121399,R2KA5C441VFCQ4,4,18,21,N,Y
121530,R12D30NSCTOP0Y,3,41,41,N,Y
121753,R6AQ78FNLY67J,4,44,50,N,Y
122361,R3H9ASI1NNFCSR,5,149,152,N,Y
122383,R2LHOCKZ2Q8ADP,5,45,45,N,Y
122874,RUFJXZ8Z2V7G1,5,24,28,N,Y
123237,RV2AP5M29VDRL,5,20,20,N,Y
123332,R139CTCY6YA4VU,5,25,29,N,Y
123741,R2E2PSGZUCGXYA,3,59,62,N,N
123747,RPCV4RMSUHK2J,5,63,73,N,Y
123767,R15Y6CN6APTQCS,5,17,21,N,Y
123875,R2J2D8PHQ6HSXG,5,99,103,N,Y
124009,RI4220JS2VE1U,4,47,48,N,Y
124095,R22S46K6PE05HO,5,21,26,N,N
124337,R2WWOW35ZG2C2V,5,97,101,N,Y
124368,R3CL305F1PKA6O,1,37,38,N,N
124427,R35R8QEM7QM13G,4,27,27,N,Y
124953,R2MQ19J8RM1F8T,3,36,38,N,N
125555,R7WWBSFWLJ7CW,4,34,35,N,Y
125653,R24R39IP0X4V3N,5,25,25,N,Y
125687,R2R2YJRGTO9O4I,3,25,26,N,Y
127113,R2GC2JW1HR42XP,5,23,26,N,N
127249,R1P5WYM1IQLLBR,5,21,21,N,Y
128374,R1I1V7X4BM102N,5,23,25,N,Y
129699,R1OBPW5GCVCCB,4,27,27,N,Y
130495,RLIDCMV0LYIWP,1,37,42,N,N
130959,R2P5RMRN2G1A8J,5,20,20,N,Y
131204,RDC35X4BHHZZ7,5,20,20,N,Y
131258,R2IR0SEWPSL01M,5,24,27,N,N
131898,R21XL6LSBA6PI5,5,32,35,N,Y
132075,R2WZF3A7331UAI,5,21,21,N,Y
132158,RN493T9L296VZ,5,90,90,N,Y
132532,R9HFGCFD0XIG2,3,33,34,N,N
132636,R2GYU1O3TTMFMT,1,17,22,N,Y
132655,R1I65L2CFG53XW,3,19,21,N,Y
133256,RRNLIBIU81FZB,5,44,45,N,Y
133512,R18ZAHRLUPUKVT,1,154,160,N,Y
133956,R17OW4ERZ7TTCJ,4,41,47,N,Y
134170,R2LOQ4QHKLW993,4,38,43,N,Y
134507,RAPOB4HCL6T5A,5,27,27,N,Y
